rank,client_hash_id,content_hash_id,action,reason_code,model_score,feb_impressions,feb_clicks,feb_avg_position,march_clicks
1,client_62f4a7e64f5e0096,content_44d284c2ad861171,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,30752.0,220.0,2.545155990125747,324
2,client_62f4a7e64f5e0096,content_c556c7369fb2fd06,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,36689.0,161.0,2.570128649851245,201
3,client_62f4a7e64f5e0096,content_c0389fad914fbf6a,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,38693.0,172.0,2.634123198316496,113
4,client_62f4a7e64f5e0096,content_0bc11e99b6751f55,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,17539.0,77.0,2.6015801270436016,115
5,client_62f4a7e64f5e0096,content_bea890c2cbbe6441,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,16196.0,94.0,2.567399159154789,97
6,client_62f4a7e64f5e0096,content_bfde20b6654f2823,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,19312.0,194.0,2.6027902936376157,175
7,client_62f4a7e64f5e0096,content_cf1bf84ce449b27d,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,15254.0,119.0,2.6491039155196967,128
8,client_62f4a7e64f5e0096,content_819da6d6c68043cb,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,26258.0,214.0,2.602468532023074,169
9,client_62f4a7e64f5e0096,content_73d58f8038e3c431,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,59658.0,88.0,2.620732231522099,90
10,client_62f4a7e64f5e0096,content_96ccda6ff79921ac,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,17454.0,95.0,2.514458560457085,101
11,client_62f4a7e64f5e0096,content_5dc24af7d96d5a92,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,17693.0,217.0,2.591950691415028,238
12,client_62f4a7e64f5e0096,content_040354918a6e87f5,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,20244.0,111.0,2.5428311091714577,132
13,client_62f4a7e64f5e0096,content_24821738e910ae7d,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,41471.0,173.0,2.642501461270642,204
14,client_62f4a7e64f5e0096,content_58720bce07de4271,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,22568.0,240.0,2.530607729145385,146
15,client_62f4a7e64f5e0096,content_a9786874ec1fef9c,high_priority_review,visible_with_clicks_and_good_position,477.73565697099,20537.0,68.0,2.6499821789161624,66
16,client_62f4a7e64f5e0096,content_3af34f71a4f823e5,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,19084.0,77.0,1.8902938552726325,71
17,client_23a62021009f63c4,content_35408799c8ec687a,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,19224.0,73.0,1.9928891564302054,65
18,client_62f4a7e64f5e0096,content_064ad7709cd31cb6,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,25977.0,180.0,1.9623856803304638,140
19,client_62f4a7e64f5e0096,content_626259d4d02a1734,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,16516.0,128.0,1.7110092637090921,108
20,client_62f4a7e64f5e0096,content_7771b5bf2d406648,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,33382.0,343.0,1.9321191413033374,285
21,client_62f4a7e64f5e0096,content_337172ae61734532,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,19492.0,150.0,1.8769306604577125,152
22,client_62f4a7e64f5e0096,content_1e1ae50dc883f62b,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,23267.0,122.0,1.9029004434934873,96
23,client_62f4a7e64f5e0096,content_50517d3705870b7c,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,16055.0,154.0,1.824983064152276,115
24,client_62f4a7e64f5e0096,content_365d15cb52216e75,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,19808.0,70.0,1.9095243906837893,46
25,client_62f4a7e64f5e0096,content_26cf2a75be7959e9,high_priority_review,visible_with_clicks_and_good_position,302.7872295659602,26462.0,68.0,1.7601381919963344,107
26,client_62f4a7e64f5e0096,content_c7202c1e7a6a2a60,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,17360.0,115.0,2.9670576691237875,163
27,client_62f4a7e64f5e0096,content_e2973b33bcc91ac1,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,38845.0,189.0,2.843441600081584,202
28,client_62f4a7e64f5e0096,content_0fbe3f5445bec59d,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,27106.0,359.0,2.9305162008720522,313
29,client_62f4a7e64f5e0096,content_f796e35554af78cf,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,24067.0,94.0,2.9889891822294494,89
30,client_62f4a7e64f5e0096,content_465d20bc90052258,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,22309.0,78.0,2.939856974549805,127
31,client_62f4a7e64f5e0096,content_28aa5771662f7787,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,23653.0,105.0,2.9890064704343815,118
32,client_62f4a7e64f5e0096,content_87e4bde67ef5dea8,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,21317.0,69.0,2.981915542572754,56
33,client_62f4a7e64f5e0096,content_5dcd9e984ab759e1,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,28436.0,106.0,2.9653011340846436,126
34,client_62f4a7e64f5e0096,content_f2a8605046b50be1,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,17652.0,127.0,2.897533030993117,106
35,client_62f4a7e64f5e0096,content_a83f5792f6efaf67,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,33975.0,214.0,2.8475237729222242,142
36,client_62f4a7e64f5e0096,content_7c0333e1f7146b3b,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,21893.0,105.0,2.960467867913525,85
37,client_62f4a7e64f5e0096,content_852a287247d92298,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,20215.0,80.0,2.9248396232176352,74
38,client_62f4a7e64f5e0096,content_57c49b5d9d864c5d,high_priority_review,visible_with_clicks_and_good_position,287.3100586039462,23143.0,130.0,2.8411901802133137,95
39,client_62f4a7e64f5e0096,content_b8fbd1cbfd8f5395,high_priority_review,visible_with_clicks_and_good_position,284.57666095696317,28791.0,113.0,2.00014471970562,137
40,client_62f4a7e64f5e0096,content_1d1b5a860cb50267,high_priority_review,visible_with_clicks_and_good_position,284.57666095696317,23060.0,117.0,2.029023596110391,100
41,client_62f4a7e64f5e0096,content_f6d0b5c9cb1ed4ef,high_priority_review,visible_with_clicks_and_good_position,284.57666095696317,40569.0,234.0,2.062000844249247,200
42,client_62f4a7e64f5e0096,content_e645e57bf945bef4,high_priority_review,visible_with_clicks_and_good_position,284.57666095696317,31956.0,166.0,2.0011014787820427,138
43,client_62f4a7e64f5e0096,content_6bfe0826dfec6c50,high_priority_review,visible_with_clicks_and_good_position,284.57666095696317,18809.0,145.0,1.9949722392549236,159
44,client_62f4a7e64f5e0096,content_9436bbbae5a1b27a,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,32684.0,143.0,4.306208989805985,174
45,client_62f4a7e64f5e0096,content_f77f0a6b435d0561,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,30114.0,96.0,4.238207804348561,54
46,client_62f4a7e64f5e0096,content_409d4ec0bc8279b9,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,16664.0,92.0,4.261357566488884,46
47,client_62f4a7e64f5e0096,content_13c78e35ef6983cd,high_priority_review,visible_with_clicks_and_good_position,280.273021817615,44820.0,212.0,4.315123718648943,210
